app,Date,Campaign,os,Installs,spend,cpi
auto,2019-03-06,RU,android,354.0,32668.029999999995,92.2825706214689
auto,2019-03-06,RU,ios,21.0,1350.77,64.32238095238095
auto,2019-03-06,RU,windows,0.0,0.0,
auto,2019-03-06,SPB,android,5.0,766.5400000000001,153.30800000000002
auto,2019-03-07,MSK_SPB,android,15.0,1782.7399999999998,118.84933333333332
auto,2019-03-07,MSK_SPB,ios,0.0,44.17,inf
auto,2019-03-07,RU,android,384.0,35925.69000000001,93.55648437500003
auto,2019-03-07,RU,ios,19.0,1699.49,89.44684210526316
auto,2019-03-07,RU,windows,0.0,0.0,
auto,2019-03-07,SPB,android,7.0,876.55,125.22142857142856
auto,2019-03-08,MSK_SPB,android,18.0,2076.66,115.36999999999999
auto,2019-03-08,MSK_SPB,ios,0.0,42.31,inf
auto,2019-03-08,RU,android,292.0,25444.319999999996,87.13808219178081
auto,2019-03-08,RU,ios,18.0,1480.8100000000002,82.26722222222223
auto,2019-03-08,RU,windows,0.0,0.0,
auto,2019-03-08,SPB,android,3.0,415.37000000000006,138.45666666666668
auto,2019-03-09,MSK_SPB,android,23.0,2719.62,118.24434782608695
auto,2019-03-09,MSK_SPB,ios,0.0,43.58,inf
auto,2019-03-09,RU,android,309.0,25206.329999999994,81.57388349514561
auto,2019-03-09,RU,ios,33.0,2012.02,60.97030303030303
auto,2019-03-09,RU,windows,0.0,181.95999999999998,inf
auto,2019-03-09,SPB,android,4.0,378.4,94.6
auto,2019-03-10,MSK_SPB,android,17.0,1475.44,86.79058823529412
auto,2019-03-10,MSK_SPB,ios,2.0,29.72,14.86
auto,2019-03-10,RU,android,314.0,22551.959999999992,71.82152866242036
auto,2019-03-10,RU,ios,34.0,2317.7599999999998,68.16941176470587
auto,2019-03-10,RU,windows,0.0,0.0,
auto,2019-03-10,SPB,android,0.0,117.16000000000001,inf
auto,2019-03-11,MSK_SPB,android,8.0,694.5600000000001,86.82000000000001
auto,2019-03-11,MSK_SPB,ios,1.0,7.43,7.43
auto,2019-03-11,RU,android,157.0,10552.849999999999,67.21560509554139
auto,2019-03-11,RU,ios,7.0,743.3899999999999,106.19857142857141
auto,2019-03-11,SPB,android,1.0,194.1,194.1
real,2019-02-11,MSK,android,70.0,3581.0499999999993,51.15785714285713
real,2019-02-11,MSK,windows,0.0,0.0,
real,2019-02-11,SPB,android,90.0,12540.300000000001,139.33666666666667
real,2019-02-11,SPB,ios,0.0,0.0,
real,2019-02-11,SPB,macos,0.0,0.0,
real,2019-02-12,MSK,android,110.0,8016.200000000001,72.87454545454545
real,2019-02-12,MSK,windows,0.0,0.0,
real,2019-02-12,SPB,android,132.0,17792.59999999999,134.79242424242418
real,2019-02-12,SPB,windows,0.0,2.97,inf
real,2019-02-13,MSK,android,120.0,9873.609999999999,82.28008333333332
real,2019-02-13,SPB,android,152.0,22073.979999999992,145.22355263157888
real,2019-02-14,MSK,android,46.0,4454.05,96.82717391304348
real,2019-02-14,MSK,windows,0.0,0.0,
real,2019-02-14,SPB,android,77.0,10248.930000000002,133.10298701298703
real,2019-02-15,MSK,android,95.0,10370.139999999994,109.15936842105256
real,2019-02-15,MSK,windows,0.0,1065.8,inf
real,2019-02-15,SPB,android,71.0,11713.159999999994,164.97408450704216
real,2019-02-15,SPB,windows,0.0,54.41,inf
real,2019-02-16,MSK,android,61.0,5114.170000000001,83.83885245901641
real,2019-02-16,MSK,windows,0.0,0.0,
real,2019-02-16,SPB,android,118.0,17428.36,147.69796610169493
real,2019-02-17,MSK,android,53.0,4299.479999999999,81.12226415094337
real,2019-02-17,SPB,android,93.0,12897.180000000002,138.6793548387097
real,2019-02-17,SPB,windows,0.0,21.54,inf
real,2019-02-18,MSK,android,78.0,5848.88,74.98564102564103
real,2019-02-18,MSK,windows,0.0,0.0,
real,2019-02-18,SPB,android,91.0,12631.710000000003,138.81000000000003
real,2019-02-18,SPB,windows,0.0,17.71,inf
real,2019-02-19,MSK,android,60.0,5234.829999999999,87.24716666666664
real,2019-02-19,SPB,android,72.0,10613.249999999998,147.40624999999997
real,2019-02-19,SPB,windows,0.0,136.0,inf
real,2019-02-20,MSK,android,45.0,3295.31,73.22911111111111
real,2019-02-20,MSK,windows,0.0,0.0,
real,2019-02-20,SPB,android,75.0,12234.920000000004,163.1322666666667
real,2019-02-20,SPB,windows,0.0,0.0,
real,2019-02-21,MSK,android,45.0,5277.11,117.2691111111111
real,2019-02-21,MSK,windows,0.0,150.1,inf
real,2019-02-21,SPB,android,20.0,1424.0800000000004,71.20400000000002
real,2019-02-21,SPB,windows,0.0,26.45,inf
real,2019-02-22,MSK,android,21.0,1904.6000000000001,90.6952380952381
real,2019-02-22,MSK,windows,0.0,0.0,
real,2019-02-22,SPB,android,8.0,1567.3399999999995,195.91749999999993
real,2019-02-23,MSK,android,27.0,1696.4099999999994,62.82999999999998
real,2019-02-23,MSK,windows,0.0,0.0,
real,2019-02-23,SPB,android,10.0,1237.18,123.718
real,2019-02-24,MSK,android,63.0,4309.759999999999,68.40888888888888
real,2019-02-24,MSK,windows,0.0,0.0,
real,2019-02-24,SPB,android,42.0,4786.65,113.96785714285713
real,2019-02-25,MSK,android,72.0,4022.7799999999997,55.87194444444444
real,2019-02-25,MSK,windows,0.0,0.0,
real,2019-02-25,SPB,android,67.0,7195.290000000001,107.3923880597015
real,2019-02-26,MSK,android,119.0,5709.249999999999,47.97689075630252
real,2019-02-26,MSK,windows,0.0,0.0,
real,2019-02-26,SPB,android,83.0,10401.629999999997,125.32084337349394
real,2019-02-27,MSK,android,83.0,5491.5,66.16265060240964
real,2019-02-27,MSK,windows,0.0,58.7,inf
real,2019-02-27,SPB,android,45.0,6840.319999999999,152.00711111111107
real,2019-02-28,MSK,android,130.0,6810.840000000001,52.39107692307693
real,2019-02-28,MSK,windows,0.0,0.0,
real,2019-02-28,SPB,android,39.0,6021.9299999999985,154.4084615384615
real,2019-03-01,MSK,android,142.0,7606.949999999999,53.5700704225352
real,2019-03-01,MSK,ios,8.0,734.3900000000001,91.79875000000001
real,2019-03-01,MSK,windows,0.0,6.78,inf
real,2019-03-01,SPB,android,66.0,7320.369999999999,110.91469696969695
real,2019-03-01,SPB,ios,1.0,475.19000000000005,475.19000000000005
real,2019-03-02,MSK,android,234.0,11034.789999999997,47.15722222222221
real,2019-03-02,MSK,ios,17.0,957.7999999999998,56.34117647058822
real,2019-03-02,MSK,windows,0.0,0.0,
real,2019-03-02,SPB,android,85.0,10536.73,123.9615294117647
real,2019-03-02,SPB,ios,3.0,835.9999999999999,278.66666666666663
real,2019-03-03,MSK,android,324.0,15925.770000000002,49.15361111111112
real,2019-03-03,MSK,ios,17.0,942.5799999999999,55.44588235294117
real,2019-03-03,MSK,unknown,0.0,0.0,
real,2019-03-03,SPB,android,89.0,14345.119999999994,161.18112359550554
real,2019-03-03,SPB,ios,3.0,865.57,288.52333333333337
real,2019-03-03,SPB,windows,0.0,25.11,inf
real,2019-03-04,MSK,android,284.0,13110.760000000002,46.16464788732395
real,2019-03-04,MSK,ios,14.0,1329.95,94.99642857142858
real,2019-03-04,SPB,android,86.0,10013.98,116.44162790697673
real,2019-03-04,SPB,ios,6.0,786.57,131.095
real,2019-03-04,SPB,windows,0.0,0.0,
real,2019-03-05,MSK,android,239.0,11796.8,49.358995815899576
real,2019-03-05,MSK,ios,12.0,940.2300000000001,78.3525
real,2019-03-05,MSK,windows,0.0,0.0,
real,2019-03-05,SPB,android,67.0,8171.9,121.96865671641791
real,2019-03-05,SPB,ios,2.0,618.21,309.105
real,2019-03-06,MSK,android,61.0,3039.719999999999,49.831475409836045
real,2019-03-06,MSK,ios,5.0,650.5999999999999,130.11999999999998
real,2019-03-06,MSK,windows,0.0,0.0,
real,2019-03-06,SPB,android,42.0,5294.5599999999995,126.06095238095237
real,2019-03-06,SPB,ios,3.0,588.67,196.22333333333333
real,2019-03-07,MSK,android,100.0,4790.449999999998,47.90449999999998
real,2019-03-07,MSK,ios,6.0,387.01000000000005,64.50166666666668
real,2019-03-07,MSK,windows,0.0,0.0,
real,2019-03-07,SPB,android,69.0,10369.15,150.27753623188406
real,2019-03-07,SPB,ios,4.0,872.5699999999999,218.14249999999998
real,2019-03-08,MSK,android,160.0,8351.42,52.196375
real,2019-03-08,MSK,ios,12.0,602.95,50.24583333333334
real,2019-03-08,MSK,windows,0.0,0.0,
real,2019-03-08,SPB,android,39.0,6998.37,179.44538461538463
real,2019-03-08,SPB,ios,3.0,677.07,225.69000000000003
real,2019-03-09,MSK,android,143.0,7919.419999999998,55.38055944055943
real,2019-03-09,MSK,ios,17.0,764.4000000000001,44.964705882352945
real,2019-03-09,MSK,windows,0.0,0.0,
real,2019-03-09,SPB,android,45.0,6497.16,144.38133333333332
real,2019-03-09,SPB,ios,9.0,1091.48,121.27555555555556
real,2019-03-10,MSK,android,164.0,7782.660000000001,47.45524390243903
real,2019-03-10,MSK,ios,18.0,1469.6700000000003,81.64833333333335
real,2019-03-10,MSK,windows,0.0,0.0,
real,2019-03-10,SPB,android,51.0,6251.680000000001,122.58196078431375
real,2019-03-10,SPB,ios,12.0,1340.0,111.66666666666667
real,2019-03-11,MSK,android,78.0,3659.6099999999997,46.91807692307692
real,2019-03-11,MSK,ios,7.0,284.31999999999994,40.617142857142845
real,2019-03-11,SPB,android,26.0,2314.06,89.0023076923077
real,2019-03-11,SPB,ios,2.0,106.3,53.15
